Id,Iq,Phi_d,Phi_q
-253.846154,76.923077,0.0227342019957,0.0137192886023
-253.846154,84.615385,0.0240864102889,0.0179248941512
-253.846154,92.307692,0.025379933684,0.0221498818192
-253.846154,100.000000,0.026910012155,0.0263644113889
-253.846154,107.692308,0.0282312478554,0.0304778127732
-253.846154,115.384615,0.0295149670751,0.034302737195
-253.846154,123.076923,0.0307700897243,0.0378884578814
-253.846154,130.769231,0.0319907299667,0.0413741562289
-253.846154,138.461538,0.0332263576777,0.0448131502164
-253.846154,146.153846,0.0344743317443,0.0482555722284
-253.846154,153.846154,0.0356900844839,0.051756972921
-253.846154,161.538462,0.0369223665527,0.0553591547214
-253.846154,169.230769,0.0381689661221,0.0589787911533
-253.846154,176.923077,0.0393653775218,0.0625247798197
-253.846154,184.615385,0.040518696793,0.0659581227581
-253.846154,192.307692,0.0416066902964,0.0692625892033
-253.846154,200.000000,0.0426105172562,0.0724531964309
-253.846154,207.692308,0.0437164776973,0.075630223535
-253.846154,215.384615,0.0449435425843,0.0790252077421
-253.846154,223.076923,0.0458105710395,0.0820516201397
-253.846154,230.769231,0.0467548416513,0.0850394897357
-253.846154,238.461538,0.0476020141846,0.0880371446975
-253.846154,246.153846,0.0487466915072,0.090930472104
-253.846154,253.846154,0.0496579981235,0.0939490971392
-253.846154,261.538462,0.0501561553776,0.0962676380307
-253.846154,269.230769,0.0511405983815,0.0991367910335
-253.846154,276.923077,0.0521976685062,0.102084851399
-253.846154,284.615385,0.0529957631988,0.104641019499
-253.846154,292.307692,0.0537438677921,0.1071095214
-253.846154,300.000000,0.0545252348183,0.109583420864
-246.153846,0.000000,0.00749547848544,-0.0283592138389
-246.153846,7.692308,0.00900322059752,-0.0239414597527
-246.153846,15.384615,0.0105137345347,-0.0194941628378
-246.153846,23.076923,0.0120169172122,-0.0150711306236
-246.153846,30.769231,0.0135797597855,-0.0106950894617
-246.153846,38.461538,0.0151268636793,-0.00634176679137
-246.153846,46.153846,0.0167338243409,-0.0020253905141
-246.153846,53.846154,0.0182704529305,0.0022477971051
-246.153846,61.538462,0.0198277001542,0.00651079317796
-246.153846,69.230769,0.0215482452176,0.0107734773152
-246.153846,76.923077,0.0226619317607,0.015021023197
